annee	continent	code	pays	hommes	hommes_fr	homme_extra	femmes	femmes_fr	femmes_extra
2006	Europe	DEU	Allemand	579	418	161	648	453	195
2006	Europe	AUT	Autrichien	30	24	6	46	33	13
2006	Europe	BEL	Belge	593	449	144	575	418	157
2006	Europe	BGR	Bulgare	44	29	15	166	138	28
2006	Europe	CYP	Chypriote	3	3	0	2	2	0
2006	Europe	DNK	Danois	30	16	14	31	28	3
2006	Europe	ESP	Espagnol	371	308	63	341	271	70
2006	Europe	EST	Estonien	1	0	1	6	4	2
2006	Europe	FIN	Finlandais	9	5	4	32	24	8
2006	Europe	GRC	Grec	27	19	8	41	28	13
2006	Europe	HUN	Hongrois	14	12	2	60	55	5
2006	Europe	IRL	Irlandais	79	61	18	78	61	17
2006	Europe	ITA	Italien	650	514	136	368	288	80
2006	Europe	LVA	Letton	0	0	0	21	19	2
2006	Europe	LTU	Lituanien	7	4	3	45	36	9
2006	Europe	LUX	Luxembourgeois	36	25	11	37	28	9
2006	Europe	MLT	Maltais	2	2	0	4	4	0
2006	Europe	NOR	Norvégien	15	13	2	32	25	7
2006	Europe	NLD	Néerlandais Hollandais	243	133	110	270	120	150
2006	Europe	POL	Polonais	142	73	69	546	431	115
2006	Europe	PRT	Portugais	1517	1153	364	854	533	321
2006	Europe	ROU	Roumain	187	103	84	601	498	103
2006	Europe	GBR	Britannique	1061	633	428	746	349	397
2006	Europe	SVK	Slovaque	13	11	2	60	51	9
2006	Europe	SVN	Slovène	2	2	0	4	2	2
2006	Europe	SWE	Suédois	49	39	10	73	61	12
2006	Europe	CHE	Suisse	170	125	45	215	167	48
2006	Europe	ISL	Islandais	0	0	0	2	2	0
2006	Europe	CZE+SVK	Tchécoslovaque	2	1	1	1	1	0
2006	Europe	CZE	Tchèque	10	8	2	51	47	4
2006	Europe	YUG	Yougoslave	127	49	78	103	35	68
2006	Europe	Europe	Autres nationalités d'Europe (sauf Russes)	484	240	244	905	659	246
2006	Afrique	DZA	Algérien	6129	4958	1171	2809	1681	1128
2006	Afrique	CMR	Camerounais	566	397	169	827	655	172
2006	Afrique	CAF	Centrafricain	90	66	24	65	44	21
2006	Afrique	COG	Congolais	818	366	452	633	202	431
2006	Afrique	CIV	Ivoirien	532	352	180	558	383	175
2006	Afrique	BEN	Béninois	228	186	42	119	84	35
2006	Afrique	GAB	Gabonais	95	71	24	201	169	32
2006	Afrique	GIN	Guinéen	183	129	54	115	58	57
2006	Afrique	BFA	Burkinabé	57	49	8	45	39	6
2006	Afrique	MDG	Malgache	191	110	81	508	423	85
2006	Afrique	MLI	Malien	352	281	71	154	73	81
2006	Afrique	MAR	Marocain	4911	4093	818	2701	1815	886
2006	Afrique	MRT	Mauritanien	75	58	17	23	14	9
2006	Afrique	NER	Nigérien	76	41	35	52	36	16
2006	Afrique	EGY	Egyptien	228	168	60	18	4	14
2006	Afrique	SEN	Sénégalais	540	417	123	365	242	123
2006	Afrique	TCD	Tchadien	30	18	12	31	19	12
2006	Afrique	TGO	Togolais	151	101	50	141	91	50
2006	Afrique	TUN	Tunisien	2084	1803	281	484	298	186
2006	Afrique	COM	Comorien	140	117	23	94	70	24
2006	Afrique	SOM	Somalien	2	0	2	6	3	3
2006	Afrique	MUS	Mauricien	126	93	33	227	196	31
2006	Afrique	NGA	Nigérian	138	59	79	88	55	33
2006	Afrique	COD	Zaïrois	49	17	32	47	14	33
2006	Afrique	Afrique	Autres nationalités d'Afrique	360	151	209	365	184	181
